subject_idx,lr,weight
0,0.05092122751770369,5.444303572156376e-14
0,0.05022664243075226,9.707899698710332e-15
0,0.05161702032675104,4.584135765680472e-14
0,0.0482623755200253,1.2485403072383308e-14
0,0.051698067276426854,1.4958555427962148e-14
0,0.05313572301249468,7.234437714745758e-14
0,0.052576102729180584,5.640790534421538e-14
0,0.05445580306654768,4.830577258794558e-14
0,0.05444163413409333,3.745992848794971e-15
0,0.05350291644966484,4.2203356680117844e-14
1,0.044491725709504305,4.144438218686154e-11
1,0.04100239573386734,2.7037111383243774e-14
1,0.04256231613963544,4.3782154592981204e-11
1,0.04022401726392903,2.2700141521088508e-14
1,0.040288160848476466,6.610696135189607e-05
1,0.05366438001014613,1.0140490210004453e-05
1,0.045449328188253604,1.8311572616889757e-13
1,0.04563510921531143,8.306191970819983e-14
1,0.03824640409859246,7.896201272335275e-15
1,0.046774893640563545,4.2516949730911564e-13
2,0.039279648359721274,3.1826544213659877e-14
2,0.04059585367241526,2.779436433801301e-14
2,0.038744270802631375,1.7812344467133062e-09
2,0.038494443914699396,9.27138959168969e-14
2,0.03696633938418941,7.307736696463467e-14
2,0.03915522328927555,1.0376258980595441e-13
2,0.032466549897666494,6.610696135189607e-05
2,0.04136356955282079,1.244580350250923e-13
2,0.04135996940778706,4.9538927286366385e-14
2,0.03959303032739344,3.817218395890531e-14
3,0.06854518308035654,5.129217703966858e-14
3,0.069532987835092,7.486863406462126e-16
3,0.06865479036749506,9.260269727214229e-14
3,0.07750783629735788,7.964211273996261e-15
3,0.06784112844230065,7.738577234006153e-10
3,0.07243528443464457,1.4444247889846866e-13
3,0.06400327335850135,2.2253432055284247e-09
3,0.06367202427382172,1.4494665497723277e-13
3,0.07016693939396275,3.9398211405918124e-14
3,0.06752513153730991,1.7034500974108237e-13
4,0.07983785768221234,6.68328664239449e-09
4,0.07664157797963526,1.1506874746383871e-12
4,0.0801422079595806,2.229881627253498e-05
4,0.0696435560659764,1.989125907747219e-13
4,0.07727092656225784,2.6067211509623312e-05
4,0.08195185529769504,1.9689018753051013e-12
4,0.0691993138394266,1.7718642477028283e-13
4,0.08080110933526216,4.075612019500114e-05
4,0.07074919181961488,4.2049416478014026e-14
4,0.07463114874427697,4.113835056666547e-13
5,0.09557479162725484,3.862184160132549e-09
5,0.08800126334784229,4.374236935773018e-05
5,0.08502145439076157,3.092379378813851e-09
5,0.0870122215556229,3.859962270817081e-09
5,0.08512819039346303,5.037176984805553e-14
5,0.08822493545946945,9.156682638282002e-10
5,0.08286583546802652,7.965989019294336e-05
5,0.08713521564155262,5.107096930867211e-14
5,0.08635010358990257,7.725688091847279e-09
5,0.08830719579118623,1.89019522231676e-09
6,0.08502937649760224,5.769398541072899e-14
6,0.08251507961587792,1.2965832784510015e-14
6,0.08186849410662611,2.965698249342146e-14
6,0.08109616553807247,5.5992124552834624e-14
6,0.08330537978695299,1.3485845599026954e-14
6,0.08350206177605472,2.5217400840787775e-15
6,0.08320158298683215,1.1068608765644131e-14
6,0.08361581621969344,2.2921569301773457e-14
6,0.08427524870284113,7.983800288984417e-15
6,0.08390582386334677,2.1773355474689767e-14
7,0.06053623415576534,8.32723757129207e-15
7,0.06041050135765235,7.083361023449496e-14
7,0.0591338302212632,4.259993894531657e-15
7,0.0588549067017555,2.9336511890204674e-14
7,0.05656502507675074,4.853495413118396e-14
7,0.06069234882923557,4.454385489687523e-15
7,0.06481283476822387,4.115283289123488e-14
7,0.06470541762222767,9.409079082805912e-15
7,0.06841791325720933,3.66043422247415e-14
7,0.060165770695260884,3.783534650048308e-14
8,0.05984813167399745,5.292645631011199e-14
8,0.05660655963450946,6.610696135189607e-05
8,0.06273316100092313,3.601637693318492e-14
8,0.06115986764161437,2.885480990688064e-14
8,0.057420604874076145,1.1403922246358126e-13
8,0.05974498584377799,7.144924866887552e-05
8,0.0601376704394148,5.797187387464408e-14
8,0.06233442859715549,5.939889451313944e-14
8,0.05870286193928329,6.090759625637908e-15
8,0.061087428260678915,1.8762185666801623e-15
9,0.0333331758370875,1.0106292237099105e-14
9,0.0359605126653593,1.0485637482737244e-14
9,0.04344080787349802,2.99991576463123e-06
9,0.032805523017549014,1.3165912219555174e-13
9,0.03551569155132644,2.1964036946638152e-10
9,0.039706416502108294,4.3833168963941646e-09
9,0.03465354931497035,8.277016267540485e-14
9,0.034468911910393786,8.28392308990752e-12
9,0.034986697660293574,2.501802933572876e-09
9,0.028637676136154637,1.7597033418296404e-11
